map,RoomID,playerInitialHealth,PlayerFinalHealth,HealthLost,TimeToExit,hasEnemies,nEnemies,EnemiesIds,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,100,10,10,0,9185,True,2,Name: Enemy37,Amount: 1,Name: Enemy10,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,102,10,10,0,5036,True,1,Name: Enemy36,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,122,10,10,0,9236,True,2,Name: Enemy0,Amount: 1,Name: Enemy33,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,104,10,10,0,4611,True,1,Name: Enemy34,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,106,10,6,-4,11975,True,2,Name: Enemy35,Amount: 1,Name: Enemy7,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,84,6,6,0,4958,True,1,Name: Enemy7,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,64,6,3,-3,5838,True,1,Name: Enemy14,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,66,3,0,-3,2297,True,1,Name: Enemy1,Amount: 1,
map,RoomID,playerInitialHealth,PlayerFinalHealth,HealthLost,TimeToExit,hasEnemies,nEnemies,EnemiesIds,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,100,10,10,0,9185,True,2,Name: Enemy37,Amount: 1,Name: Enemy10,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,102,10,10,0,5036,True,1,Name: Enemy36,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,122,10,10,0,9236,True,2,Name: Enemy0,Amount: 1,Name: Enemy33,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,104,10,10,0,4611,True,1,Name: Enemy34,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,106,10,6,-4,11975,True,2,Name: Enemy35,Amount: 1,Name: Enemy7,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,84,6,6,0,4958,True,1,Name: Enemy7,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,64,6,3,-3,5838,True,1,Name: Enemy14,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,66,3,0,-3,2297,True,1,Name: Enemy1,Amount: 1,
map,RoomID,playerInitialHealth,PlayerFinalHealth,HealthLost,TimeToExit,hasEnemies,nEnemies,EnemiesIds,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,100,10,10,0,6757,True,2,Name: Enemy24,Amount: 1,Name: Enemy38,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,102,10,10,0,10136,True,1,Name: Enemy37,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,122,10,10,0,4998,True,1,Name: Enemy13,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,104,10,9,-1,4618,True,1,Name: Enemy14,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,106,9,9,0,11197,True,2,Name: Enemy32,Amount: 2,Name: Enemy36,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,84,9,9,0,2897,True,1,Name: Enemy9,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,64,9,9,0,3278,True,1,Name: Enemy24,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,66,9,1,-8,3677,True,1,Name: Enemy28,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,46,1,1,0,5456,True,1,Name: Enemy37,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,26,1,0,-1,479,True,2,Name: Enemy18,Amount: 1,Name: Enemy17,Amount: 1,
